tj,n,A1WT,K1,K1WT,R1,K2,K2WT,Napk
0,"1","2","n","n","0","n","n",0
2,"2 3 ","5n","n1","n4","n n ","nn","nn",0
4,"n 4 ","nn","0n","nn","0 0 ","n1","n10",0
5,"5 6 ","8n","n1","n9","n n ","nn","nn",0
8,"7 ","10","n","n","n ","n","n",0
9,"n ","n","0","n","1 ","n","n",0
10,"n 8 9 10 ","nn13n","nnn1","nnn13","1 0 n n ","01nn","n17nn",1
13,"n 11 12 ","n15n","0n1","nn16","1 n n ","nnn","nnn",1
15,"13 ","18","n","n","n ","n","n",1
16,"n ","n","0","n","2 ","n","n",1
17,"n 14 ","nn","nn","nn","2 1 ","01","n25",2
18,"15 16 ","22n","n1","n22","n n ","nn","nn",2
22,"n 17 18 ","n26n","0n1","nn26","2 n n ","nnn","nnn",2
25,"n 19 ","nn","nn","nn","2 1 ","01","n31",3
26,"n 20 21 ","n30n","0n1","nn29","2 n n ","nnn","nnn",3
29,"n ","n","0","n","3 ","n","n",3
30,"22 23 ","32n","n1","n33","n n ","nn","nn",3
31,"n 24 ","nn","nn","nn","3 2 ","01","n37",4
32,"25 ","36","n","n","n ","n","n",4
33,"n ","n","0","n","3 ","n","n",4
36,"26 27 ","38n","n1","n39","n n ","nn","nn",4
37,"n 28 ","nn","nn","nn","3 2 ","01","n43",5
38,"29 ","42","n","n","n ","n","n",5
39,"n ","n","0","n","3 ","n","n",5
42,"30 31 ","45n","n1","n46","n n ","nn","nn",5
43,"n 32 ","nn","nn","nn","3 2 ","01","n47",6
45,"33 ","49","n","n","n ","n","n",6
46,"n ","n","0","n","3 ","n","n",6
47,"n 34 ","nn","nn","nn","3 2 ","01","n55",7
49,"35 36 ","51n","n1","n51","n n ","nn","nn",7
51,"n 37 38 ","n55n","0n1","nn54","3 n n ","nnn","nnn",7
54,"n ","n","0","n","4 ","n","n",7
55,"n 39 40 41 ","nn59n","nnn1","nnn59","4 3 n n ","01nn","n60nn",8
59,"n 42 43 ","n63n","0n1","nn63","4 n n ","nnn","nnn",8
60,"n 44 ","nn","nn","nn","4 3 ","01","n67",9
63,"n 45 46 ","n67n","0n1","nn65","4 n n ","nnn","nnn",9
65,"n ","n","0","n","5 ","n","n",9
67,"n 47 48 49 ","nn70n","nnn1","nnn70","5 4 n n ","01nn","n73nn",10
70,"n 50 51 ","n72n","0n1","nn72","5 n n ","nnn","nnn",10
